0037482967059,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-09-03 21:13:32.963000000,,,,Physical,250,New York City,2014-08-12 12:00:00,2.40,5ABDF0
0037482967683,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-04-27 21:13:32.987000000,,,,Ecard,150,New York City,2014-08-12 12:00:00,2.40,6DD219
0037482968307,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-09-12 21:13:33.050000000,2016-01-23 21:13:33.050000000,,,Ecard,47.52,San Francisco,2014-09-01 04:00:00,2.40,B515A1
0037482968931,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2016-09-07 21:13:33.083000000,2016-11-05 21:13:33.083000000,,,Physical,441.04,New York City,2014-08-12 12:00:00,2.40,A583F8
0037482969555,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Voided,2015-08-02 21:13:33.117000000,2015-12-28 21:13:33.117000000,2016-06-21 21:13:33.117000000,,Physical,0,Phoenix,2014-05-17 18:00:00,2.40,1E5B46
0037482970179,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-04-01 21:13:33.173000000,,,,Physical,300,Phoenix,2014-05-17 18:00:00,2.40,43C040
0037482970803,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-01-12 21:13:33.207000000,,,,Physical,250,Seattle,2014-06-01 04:00:00,2.40,871546
0037482971427,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-09-29 21:13:33.243000000,2016-03-07 21:13:33.243000000,,,Physical,0,Phoenix,2014-05-17 18:00:00,2.40,0999AE
0037482972051,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Voided,2016-07-19 21:13:33.297000000,2016-11-14 21:13:33.297000000,2017-05-09 21:13:33.297000000,,Ecard,0,Phoenix,2014-05-17 18:00:00,2.40,6C1313
0037482972675,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2016-05-07 21:13:33.337000000,2016-06-02 21:13:33.337000000,,,Ecard,172.4,Seattle,2014-06-01 04:00:00,2.40,D8AA24
0037482973299,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-09-15 21:13:33.380000000,2016-02-04 21:13:33.380000000,,,Ecard,136.24,Seattle,2014-06-01 04:00:00,2.40,FB6750
0037482973923,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-06-18 21:13:33.417000000,,,,Ecard,300,Phoenix,2014-05-17 18:00:00,2.40,1FB3DD
