0037483083448,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2015-07-21 21:13:36.447000000,,,,Ecard,300,New York City,2014-08-12 12:00:00,2.40,548433
0037483083461,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-01-07 21:13:36.447000000,,,,Ecard,200,Seattle,2014-06-01 04:00:00,2.40,4F1D05
0037483083474,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-07-29 21:13:36.450000000,2016-01-18 21:13:36.450000000,,,Physical,0,Phoenix,2014-05-17 18:00:00,2.40,D9D641
0037483083487,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2016-09-01 21:13:36.450000000,2016-11-03 21:13:36.450000000,,,Ecard,0,Seattle,2014-06-01 04:00:00,2.40,8D4F58
0037483083500,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2015-09-05 21:13:36.450000000,,,,Ecard,10,San Francisco,2014-09-01 04:00:00,2.40,389F3C
0037483083513,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2015-08-10 21:13:36.450000000,,,,Physical,125,Phoenix,2014-05-17 18:00:00,2.40,0C013B
0037483083526,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-11-16 21:13:36.450000000,2016-03-19 21:13:36.450000000,,,Physical,10.81,Seattle,2014-06-01 04:00:00,2.40,6E0D89
0037483083539,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2015-11-19 21:13:36.450000000,,,,Physical,350,Phoenix,2014-05-17 18:00:00,2.40,DC04E3
0037483083552,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-09-24 21:13:36.450000000,2015-11-26 21:13:36.450000000,,,Physical,20.85,San Francisco,2014-09-01 04:00:00,2.40,30B21C
0037483083565,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2016-04-17 21:13:36.450000000,2016-08-16 21:13:36.450000000,,,Physical,250,New York City,2014-08-12 12:00:00,2.40,EF0E5A
0037483083578,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-05-13 21:13:36.450000000,,,,Ecard,150,San Francisco,2014-09-01 04:00:00,2.40,A7F64F
0037483083591,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2016-08-02 21:13:36.450000000,2016-09-01 21:13:36.450000000,,,Physical,0,Phoenix,2014-05-17 18:00:00,2.40,1D8D5D
0037483083604,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Voided,2015-11-07 21:13:36.450000000,2015-11-12 21:13:36.450000000,2016-05-06 21:13:36.450000000,,Ecard,0,Seattle,2014-06-01 04:00:00,2.40,B33A60
0037483083617,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-05-04 21:13:36.450000000,,,,Ecard,350,San Francisco,2014-09-01 04:00:00,2.40,006E83
0037483083630,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-07-24 21:13:36.450000000,2015-10-17 21:13:36.450000000,,,Physical,0,Seattle,2014-06-01 04:00:00,2.40,5F2817
0037483083643,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Issued,2016-04-15 21:13:36.450000000,,,,Physical,350,New York City,2014-08-12 12:00:00,2.40,25E7A6
0037483083656,{BCD29950-F6EA-4594-96EA-A6B8C10E8B62},Wired Brain Coffee,Activated,2015-09-24 21:13:36.453000000,2015-12-27 21:13:36.453000000,,,Ecard,104.49,New York City,2014-08-12 12:00:00,2.40,1B5B95
